"Centro de Operaciones Empresa","Condición de Venta","Categoría Cliente Padre","Categoría Cliente","Categoría Artículo Padre","Categoría Artículo","Código Cliente","Nombre Cliente","Código Centro Operaciones Cliente","Nombre Centro Operaciones Cliente","Agente de Venta","Punto Venta","Fabricante","Marca","Modelo","Código Artículo","Nombre Artículo","Tipo Transacción","Código Transacción","¿Factura Sistema Anterior?","Código Transacción Referencia","Fecha Transacción","Unidad Medida","Cantidad","Unidad Medida Peso","Peso","Divisa","Precio Unitario","Subtotal Bruto","Descuento","Subtotal Neto","Impuesto","Total","Costo Unitario","Total Costo","Observación"
"006-Sede PGR 2023","CR-Crédito","-","CLIE-02-CLIENTES JURIDICOS","PRO-PRODUCTOS","PRO-15-COMPUTACION","106475","MICHELLE CAROLINA RODRIGUEZ BETANCOURT","106475","OFICINA PRINCIPAL","ALEJANDOR RODRIGUEZ","CAJA 14","-","-","-","MASS1379","MOUSE PAD RGB 30X80","FVE-Factura de Venta (+) ","00000000000000018930","No","-","02/03/2026 01:00 PM","Unid","1.00","-","-","$","12.01","12.01","0.00","12.01","0.00","12.01","2.54","2.54","LR - 80968534"
"006-Sede PGR 2023","CO-Contado","-","CLIE-02-CLIENTES JURIDICOS","PRO-PRODUCTOS","PRO-04-DEPORTE Y FITNESS","874","LISBETH MOGOLLON","874","OFICINA PRINCIPAL","KARIANA RODRIGUEZ","CAJA 13","-","-","-","MASS2406","TERMO OWALA 32 OZ AZUL MARINO","FVE-Factura de Venta (+) ","00000000000000001960","No","-","02/03/2026 01:18 PM","Unid","1.00","-","-","$","30.00","30.00","0.00","30.00","0.00","30.00","6.84","6.84","EE"
"006-Sede PGR 2023","CO-Contado","-","CLIE-02-CLIENTES JURIDICOS","PRO-PRODUCTOS","PRO-16-FERRETERIA","61704","wilker ortega","61704","OFICINA PRINCIPAL","MILAGROS PARTIDAS","005","-","-","-","MASS1522","NAVAJA MULTIHERRAMIENTA DE ACERO","FVE-Factura de Venta (+) ","00000000000000032846","No","-","02/03/2026 01:55 PM","Unid","1.00","-","-","$","16.79","16.79","0.00","16.79","0.00","16.79","3.46","3.46","CR"
"006-Sede PGR 2023","CO-Contado","-","CLIE-02-CLIENTES JURIDICOS","PRO-PRODUCTOS","PRO-06-AUDIFONOS","106479","PAOLA BOADA","106479","OFICINA PRINCIPAL","MILAGROS PARTIDAS","005","-","-","-","MASS0040","AUDIFONOS INALAMBRICO F9","FVE-Factura de Venta (+) ","00000000000000032847","No","-","02/03/2026 01:59 PM","Unid","1.00","-","-","$","5.98","5.98","0.00","5.98","0.00","5.98","1.75","1.75","Garantía de 7 DÍAS desde que recibes tu producto, solo por defectos de fábrica. ¡Importante! No aplica por daños causados por picos de voltaje o mal uso."
"006-Sede PGR 2023","CO-Contado","-","CLIE-02-CLIENTES JURIDICOS","SER-SERVICIOS","SER-04-MAGIS TV","106479","PAOLA BOADA","106479","OFICINA PRINCIPAL","MILAGROS PARTIDAS","005","-","-","-","MASS0722","EMBALAJE","FVE-Factura de Venta (+) ","00000000000000032847","No","-","02/03/2026 01:59 PM","Unid","1.00","-","-","$","0.68","0.68","0.00","0.68","0.00","0.68","0.00","0.00","Garantía de 7 DÍAS desde que recibes tu producto, solo por defectos de fábrica. ¡Importante! No aplica por daños causados por picos de voltaje o mal uso."
"006-Sede PGR 2023","CO-Contado","-","CLIE-02-CLIENTES JURIDICOS","PRO-PRODUCTOS","PRO-17-AUDIO Y VIDEO","106480","ERIELIS CRUZ","106480","OFICINA PRINCIPAL","MILAGROS PARTIDAS","005","-","-","-","MASS1904","CAMARA TIPO BOMBILLO BASE E27 1080P","FVE-Factura de Venta (+) ","00000000000000032848","No","-","02/03/2026 02:02 PM","Unid","1.00","-","-","$","13.90","13.90","0.00","13.90","0.00","13.90","3.52","3.52","Garantía de 7 DÍAS desde que recibes tu producto, solo por defectos de fábrica. ¡Importante! No aplica por daños causados por picos de voltaje o mal uso."
"006-Sede PGR 2023","CO-Contado","-","CLIE-02-CLIENTES JURIDICOS","PRO-PRODUCTOS","PRO-08-ADULTOS","106483","BELEN JOSE CHIRINOS SOLANO","106483","OFICINA PRINCIPAL","MILAGROS PARTIDAS","005","-","-","-","MASS0518","SPRAY RETARDANTE STUD 100 MASCULINO","FVE-Factura de Venta (+) ","00000000000000032849","No","-","02/03/2026 02:05 PM","Unid","1.00","-","-","$","6.71","6.71","0.00","6.71","0.00","6.71","0.88","0.88","Todos los productos de MassXshop son venta final. No se aceptan cambios, devoluciones, ni poseen garantía una vez abiertos."
"006-Sede PGR 2023","CO-Contado","-","CLIE-02-CLIENTES JURIDICOS","PRO-PRODUCTOS","PRO-11-HOGAR","106484","JOSE VALERA","106484","OFICINA PRINCIPAL","MILAGROS PARTIDAS","005","-","-","-","MASS1651","ORGANIZADOR DE BANO 40/50cm","FVE-Factura de Venta (+) ","00000000000000032850","No","-","02/03/2026 02:09 PM","Unid","1.00","-","-","$","24.92","24.92","0.00","24.92","0.00","24.92","9.15","9.15","CR"
"006-Sede PGR 2023","CO-Contado","-","CLIE-02-CLIENTES JURIDICOS","PRO-PRODUCTOS","PRO-04-DEPORTE Y FITNESS","106485","ANTONIO IGNACIO ALBARRAN","106485","OFICINA PRINCIPAL","MILAGROS PARTIDAS","005","-","-","-","MASS1206","SET DE LIGAS TUBULARES CAJA ROJA","FVE-Factura de Venta (+) ","00000000000000032851","No","-","02/03/2026 02:13 PM","Unid","1.00","-","-","$","24.96","24.96","0.00","24.96","0.00","24.96","7.35","7.35","CR"
"006-Sede PGR 2023","CO-Contado","-","CLIE-02-CLIENTES JURIDICOS","SER-SERVICIOS","SER-04-MAGIS TV","106485","ANTONIO IGNACIO ALBARRAN","106485","OFICINA PRINCIPAL","MILAGROS PARTIDAS","005","-","-","-","MASS0722","EMBALAJE","FVE-Factura de Venta (+) ","00000000000000032851","No","-","02/03/2026 02:13 PM","Unid","1.00","-","-","$","0.67","0.67","0.00","0.67","0.00","0.67","0.00","0.00","CR"
"006-Sede PGR 2023","CO-Contado","-","CLIE-02-CLIENTES JURIDICOS","PRO-PRODUCTOS","PRO-06-AUDIFONOS","106486","SANTIAGO PEREZ","106486","OFICINA PRINCIPAL","MILAGROS PARTIDAS","005","-","-","-","MASS0040","AUDIFONOS INALAMBRICO F9","FVE-Factura de Venta (+) ","00000000000000032852","No","-","02/03/2026 02:15 PM","Unid","1.00","-","-","$","5.98","5.98","0.00","5.98","0.00","5.98","1.75","1.75","Garantía de 7 DÍAS desde que recibes tu producto, solo por defectos de fábrica. ¡Importante! No aplica por daños causados por picos de voltaje o mal uso."
"006-Sede PGR 2023","CR-Crédito","-","CLIE-02-CLIENTES JURIDICOS","PRO-PRODUCTOS","PRO-05-ESTETICA Y BELLEZA","105877","YOSCARY YOSEY HERNANDEZ ZAMBRANO","105877","OFICINA PRINCIPAL","ALEJANDOR RODRIGUEZ","CAJA 14","-","-","-","MASS0621","MAQUINA DE AFEITAR PARA PERROS","FVE-Factura de Venta (+) ","00000000000000018931","No","-","02/03/2026 02:16 PM","Unid","2.00","-","-","$","15.00","30.00","0.00","30.00","0.00","30.00","3.84","7.68","LR - 80017718"
"006-Sede PGR 2023","CR-Crédito","-","CLIE-02-CLIENTES JURIDICOS","PRO-PRODUCTOS","PRO-11-HOGAR","105877","YOSCARY YOSEY HERNANDEZ ZAMBRANO","105877","OFICINA PRINCIPAL","ALEJANDOR RODRIGUEZ","CAJA 14","-","-","-","MASS2017","KENNEL TRANSPORTADOR DE MASCOTAS ARMABLE MEDIANO 3 FRANJAS TALLA M AZUL","FVE-Factura de Venta (+) ","00000000000000018931","No","-","02/03/2026 02:16 PM","Unid","1.00","-","-","$","20.03","20.03","0.00","20.03","0.00","20.03","5.77","5.77","LR - 80017718"
"006-Sede PGR 2023","CO-Contado","-","CLIE-02-CLIENTES JURIDICOS","PRO-PRODUCTOS","PRO-08-ADULTOS","106488","JORGE ALEXANDER APONTE","106488","OFICINA PRINCIPAL","MILAGROS PARTIDAS","005","-","-","-","MASS2242","CONSOLADOR DE TIGRE LARGO DRAGÓN 40 CM ANAL PLUGS","FVE-Factura de Venta (+) ","00000000000000032853","No","-","02/03/2026 02:18 PM","Unid","1.00","-","-","$","12.88","12.88","0.00","12.88","0.00","12.88","2.83","2.83","Todos los productos de MassXshop son venta final. No se aceptan cambios, devoluciones, ni poseen garantía una vez abiertos."
"006-Sede PGR 2023","CR-Crédito","-","CLIE-02-CLIENTES JURIDICOS","PRO-PRODUCTOS","PRO-06-AUDIFONOS","106489","LUIS ALEXIS SOSA ATENCIO","106489","OFICINA PRINCIPAL","ALEJANDOR RODRIGUEZ","CAJA 14","-","-","-","MASS0942","AUDIFONO AIRPODS PRO 2","FVE-Factura de Venta (+) ","00000000000000018932","No","-","02/03/2026 02:19 PM","Unid","1.00","-","-","$","22.07","22.07","0.00","22.07","0.00","22.07","5.10","5.10","MFP - 80968943"
"006-Sede PGR 2023","CO-Contado","-","CLIE-02-CLIENTES JURIDICOS","PRO-PRODUCTOS","PRO-11-HOGAR","100779","JOHAN RUIZ","100779","OFICINA PRINCIPAL","MILAGROS PARTIDAS","005","-","-","-","MASS1878","TIMBRE INTERCOMUNICADOR INTELIGENTE CON CAMARA WIFFI IP","FVE-Factura de Venta (+) ","00000000000000032854","No","-","02/03/2026 02:21 PM","Unid","1.00","-","-","$","18.02","18.02","0.00","18.02","0.00","18.02","5.10","5.10","Garantía de 7 DÍAS desde que recibes tu producto, solo por defectos de fábrica. ¡Importante! No aplica por daños causados por picos de voltaje o mal uso."
"006-Sede PGR 2023","CR-Crédito","-","CLIE-02-CLIENTES JURIDICOS","PRO-PRODUCTOS","PRO-11-HOGAR","88531","YUSMERY ANDREINA CORONA PEÑA","88531","OFICINA PRINCIPAL","ALEJANDOR RODRIGUEZ","CAJA 14","-","-","-","MASS1083","CERRADURA DE PUERTA DE MADERA LOCK","FVE-Factura de Venta (+) ","00000000000000018933","No","-","02/03/2026 02:23 PM","Unid","2.00","-","-","$","8.00","16.00","0.00","16.00","0.00","16.00","2.02","4.04","LR - 79969143"
"006-Sede PGR 2023","CR-Crédito","-","CLIE-02-CLIENTES JURIDICOS","PRO-PRODUCTOS","PRO-25-COCINA","88531","YUSMERY ANDREINA CORONA PEÑA","88531","OFICINA PRINCIPAL","ALEJANDOR RODRIGUEZ","CAJA 14","-","-","-","MASS1125","BALANZA DE COCINA 5KG ELEGANTE","FVE-Factura de Venta (+) ","00000000000000018933","No","-","02/03/2026 02:23 PM","Unid","1.00","-","-","$","14.93","14.93","0.00","14.93","0.00","14.93","4.85","4.85","LR - 79969143"
"006-Sede PGR 2023","CR-Crédito","-","CLIE-02-CLIENTES JURIDICOS","PRO-PRODUCTOS","PRO-07-RELOJES INTELIGENTES","105261","KELLY DEL CARMEN HERNANDEZ TOVAR","105261","OFICINA PRINCIPAL","ALEJANDOR RODRIGUEZ","CAJA 14","-","-","-","MASS1994","RELOJ INTELIGENTE ULTRA2 7 CORREAS AZUL","NCV-Nota de Crédito  (-) ","00000000000000000232","No","00000000000000018386","02/03/2026 02:24 PM","Unid","-1.00","-","-","$","-22.00","-22.00","0.00","-22.00","0.00","-22.00","-1.91","-1.91","Transacción generada desde el módulo: FACTURACION por anulación de la transacción: FVE-Factura de Venta, código: 00000000000000018386. Motivo: Anulación de Documento"
